ACC,Cell membrane,Cytoplasm,Endoplasmic reticulum,Golgi apparatus,Lysosome/Vacuole,Mitochondrion,Nucleus,Peroxisome
Q28165,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q86U42,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q0GA42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P82349,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q7L5N1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q96S94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9CQ25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P63086,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9UID3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Q01167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P21708,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8CH72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P51788,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9NXW9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
P86790,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
P23610,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Q9Y2Z0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q3UCQ1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q7L5D6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O75439,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q6RFH5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9Y2U8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q4AE70,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9BZM5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q5EA95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q969F1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
