Protein1,Protein2
P56945,Q92882
Q9HCD5,Q07666
P25786,Q9P2A4
P0DPB3,Q9Y6D6
O94972,Q6UWP8
Q13618,P57740
Q7Z406,O75694
Q96PC5,Q9Y4K3
O00541,Q14684
Q9Y2D8,Q96JH7
Q14999,P51149
Q6P4A8,Q96EP0
Q14676,Q13263
P38398,Q13042
O43752,Q8N5G2
O43463,O75558
Q15118,P27144
P02545,Q9BX63
Q9H5K3,Q9NTJ3
P11047,O95295
Q86UY6,Q9NRZ9
P14866,Q86X10
Q15029,P55209
O60674,Q99683
Q9NQY0,Q8WTW3
P58107,P52815
P14866,Q86UR5
Q9UKG1,Q8WXH0
Q9UG01,Q96LB3
Q8TEA7,Q9ULJ8
P11177,Q8IUR7
O60333,Q14677
P08581,P19174
Q96DX7,Q86WT6
P12821,P68400
Q5XPI4,Q6IPM2
Q00653,O14920
A5YKK6,Q8NE71
Q5XPI4,Q9P225
P53041,Q99683
Q96JB5,P04792
P42695,P53350
Q8N5H7,P04792
Q9NQW6,P62826
Q13617,P22061
Q5T4F4,Q9UII2
Q8NFZ5,Q96BD8
Q9NQY0,Q9NYB9
Q8IY31,Q9NYP9
P02489,Q9Y4A5
Q9UBF6,Q8WVD3
Q7Z699,Q8WVD3
P78317,Q8IZL8
P49257,Q9H6T3
P13569,O75477
O00189,Q9UPM8
Q9NRD5,Q96LK0
Q99759,Q9GZV5
Q02241,P33897
Q96GG9,Q16531
O94992,O95347
Q5XPI4,Q5T4F4
Q15051,P28066
P49755,Q14789
Q92667,Q14008
Q14258,Q9Y3Z3
Q96NL6,Q9NX08
Q9NP66,Q9UBU8
O75582,Q9UNM6
P33991,Q9UQE7
Q69YN4,Q96Q89
P49736,P48444
P07919,P11177
Q676U5,P55884
Q9P253,Q8NCE0
P37173,P29597
P04629,Q92974
Q9UQB8,O14910
O96019,Q6ZRS2
O60763,Q8WVM8
P14866,P56545
P50542,Q49A88
P43243,Q14966
P23497,P51570
Q96KS9,Q9H6D7
P11532,Q02241
Q9BQ67,Q14692
O43660,O43172
O95900,P08559
Q9NQG5,Q7KZ85
O95248,O43463
Q6SA08,O00763
Q13033,Q14BN4
P14616,Q16543
Q99996,Q9BSJ2
Q5S007,P11177
O75069,Q3B820
P56962,Q14764
Q13263,P18074
P12956,Q9UI36
Q86V81,Q9BYN8
P09874,Q92973
Q8TAP6,P83731
Q12933,O95816
Q6P2H3,P42694
Q86V48,P04792
Q9NRC1,Q16880
Q69YN4,Q16666
Q4G0J3,Q96GA3
Q13148,Q92900
P35228,Q96A44
P61764,Q53S33
Q13825,Q15118
Q8IYW5,Q14669
Q9BXW6,Q8NHP6
P51955,Q5T7B8
Q13637,Q14134
P36957,Q96L03
Q92538,O43399
P55072,Q9GZT3
P07949,Q12955
Q9C0B0,Q17RY0
P55196,Q8IWJ2
Q96G30,Q9NP58
Q6P050,Q14315
Q9ULT8,O15042
Q8IXM3,Q6P1L8
P25787,Q14997
Q9H4M7,O95071
P61964,P11177
Q9HC77,Q9H3R5
Q15020,P49720
Q9Y3D6,Q5T8D3
P07949,P49757
P31943,A8MQ27
Q8WV28,Q9Y5K6
P23508,P33991
P31943,Q9H254
O75787,P36543
Q13616,P14868
Q13263,P58107
Q2M1P5,Q86SQ0
Q96JK2,P61758
Q86UY6,Q76FK4
Q15287,Q9UPV0
Q8IY31,O00471
Q16659,Q99797
Q9H8V3,Q96MY7
Q9H4M7,P33992
Q9H4L7,P35250
O43663,Q13242
O14641,P10515
Q01804,Q9HB71
Q86VM9,O14654
Q6IQ23,P23588
Q8NHQ8,P41743
Q86TG7,O95751
P46934,P42684
P32971,P51956
Q9NWD9,P42773
Q8TEW0,Q96ST8
P20290,P83731
Q9NQW6,Q03001
O43264,Q9UFG5
Q15006,Q8IWX8
Q6XE24,Q9BYN8
Q7Z2W4,O95900
O60239,Q8NF91
Q9NX55,Q14457
Q9HCE1,P34947
Q9H967,P18615
Q99871,P28331
Q9P2E8,Q9NP78
Q9UQ80,P06400
Q7Z7C8,Q92750
P08133,P30084
Q01484,Q9P2E9
Q18PE1,O15146
P49257,P09972
Q14999,Q9BYW2
Q9P2Y5,P42345
Q92538,P49959
Q96ST3,P12755
Q15118,P08559
Q9BUL8,Q13033
Q9NS91,Q8WWI1
O75791,Q9ULH1
P57078,Q96RT7
Q8N122,A5YKK6
Q99558,Q14974
Q6KC79,P50897
Q8NA56,Q70UQ0
Q9H9E3,Q6UB99
O94992,Q8NFW8
Q96EP0,Q01804
O75528,Q6P2E9
Q9P0P0,O43684
P49736,P28331
Q9UKA1,Q96T76
P57081,Q96PK6
P51116,A5YKK6
P57078,Q00688
Q9UJT2,Q9UPT5
Q96G01,Q86W92
Q9UNK0,Q12981
Q32MZ4,P35250
Q9HBD1,Q14137
Q9H4M7,Q99567
P78317,Q96RQ1
O75570,Q8N442
O14544,Q86XK2
O95817,P04424
Q96K19,O75477
Q15058,Q9UQ80
O14641,Q13501
P55072,Q6UXN9
P35222,Q14008
Q9NR56,Q9UDY2
P09496,P42566
Q86WT6,Q8N9S9
Q5T8D3,Q9NSV4
