,Protein UniProt Acc.,EC Number,isEnzyme
147,Q8NE63,2.7.11.1,1
873,Q5T447,2.3.2.26,1
874,Q9Y4D8,2.3.2.26,1
970,P08397,2.5.1.61,1
1087,A2PYH4,3.6.4.12,1
1109,Q86Z02,2.7.11.1,1
1110,Q9H2X6,2.7.11.1,1
1528,Q96DB2,3.5.1.98,1
1711,Q93099,1.13.11.5,1
2204,P22830,4.99.1.1,1
2514,P09601,1.14.14.18,1
2515,P30519,1.14.14.18,1
3285,Q8TF76,2.7.11.1,1
3353,Q9ULT8,2.3.2.26,1
3513,Q15034,2.3.2.26,1
3940,Q9H422,2.7.11.1,1
4503,P04035,1.1.1.34,1
5344,P57058,2.7.11.1,1
5408,Q96N76,4.2.1.49,1
5996,Q5U5R9,2.3.2.26,1
5998,Q76N89,2.3.2.26,1
6737,P35557,2.7.1.2,1
6784,O75874,1.1.1.42,1
6847,Q9BYM8,2.3.2.27,1
7046,P52790,2.7.1.1,1
7093,P48735,1.1.1.42,1
7181,P00492,2.4.2.8,1
7480,Q2TB90,2.7.1.1,1
7708,P42357,4.3.1.3,1
8493,P52789,2.7.1.1,1
8527,Q8IU81,2.3.2.27,1
8854,Q96NU7,3.5.2.7,1
9125,P20839,1.1.1.205,1
9213,Q9UPZ9,2.7.11.1,1
9242,Q13907,5.3.3.2,1
9281,P08069,2.7.10.1,1
9367,Q9H0C8,3.1.3.16,1
9486,P12268,1.1.1.205,1
9593,Q9NWZ3,2.7.11.1,1
9629,Q96AZ6,3.1.13.1,1
9920,P14616,2.7.10.1,1
9925,P06213,2.7.10.1,1
9955,Q9Y616,2.7.11.1,1
10257,Q08881,2.7.10.2,1
10276,P52333,2.7.10.2,1
10291,Q14197,3.1.1.29,1
10529,P19367,2.7.1.1,1
10608,Q9BXS1,5.3.3.2,1
11519,Q15181,3.6.1.1,1
11980,Q9ULG1,3.6.4.12,1
12459,Q9BY32,3.6.1.9,1
12479,Q8TAC2,3.4.19.12,1
12925,P04183,2.7.1.21,1
12934,Q8N5S9,2.7.11.17,1
13296,O60229,2.7.11.1,1
13801,Q9BW62,3.6.4.3,1
13810,P48729,2.7.11.1,1
13814,Q9HCP0,2.7.11.1,1
13825,Q14012,2.7.11.17,1
13826,Q9UQM7,2.7.11.17,1
13830,Q13557,2.7.11.17,1
13831,Q13555,2.7.11.17,1
13834,Q16566,2.7.11.17,1
13839,Q9P0J7,2.3.2.27,1
14120,Q16774,2.7.4.8,1
14605,Q13554,2.7.11.17,1
14671,Q9H2U2,3.6.1.1,1
14722,P54819,2.7.4.3,1
14861,Q9Y6M4,2.7.11.1,1
14865,Q96NX5,2.7.11.17,1
15290,P23458,2.7.10.2,1
15292,O60674,2.7.10.2,1
15332,Q693B1,2.3.2.27,1
15803,Q9Y3D8,2.7.4.3,1
15952,Q92993,2.3.1.48,1
15984,Q8N752,2.7.11.1,1
15991,Q6P2M8,2.7.11.17,1
15992,Q8IU85,2.7.11.17,1
16574,P17252,2.7.11.13,1
16576,P05771,2.7.11.13,1
16580,P24723,2.7.11.13,1
16582,Q05513,2.7.11.13,1
16640,Q15349,2.7.11.1,1
16877,Q15040,3.4.19.12,1
17022,Q92830,2.3.1.48,1
17025,Q92794,2.3.1.48,1
17026,Q8WYB5,2.3.1.48,1
17027,O95251,2.3.1.48,1
17028,Q9H7Z6,2.3.1.48,1
17101,P78368,2.7.11.1,1
17256,Q4FZB7,2.1.1.43,1
17257,Q86Y97,2.1.1.43,1
17262,Q9UK32,2.7.11.1,1
17339,O75449,3.6.4.3,1
17377,Q92831,2.3.1.48,1
17436,Q8IYT4,3.6.4.3,1
17743,Q02156,2.7.11.13,1
17747,P41743,2.7.11.13,1
17763,P11801,2.7.11.1,1
17791,Q96S38,2.7.11.1,1
17823,Q16719,3.7.1.3,1
18461,P10721,2.7.10.1,1
18462,Q96RR4,2.7.11.17,1
18471,Q9UMN6,2.1.1.43,1
18496,Q6VAB6,2.7.11.1,1
18582,P06239,2.7.10.2,1
18616,P07864,1.1.1.27,1
19041,Q9UBS0,2.7.11.1,1
20156,Q8IZD2,2.1.1.43,1
20175,P05129,2.7.11.13,1
20543,O00142,2.7.1.21,1
20570,Q9BZL6,2.7.11.13,1
20576,Q04759,2.7.11.13,1
20613,Q96QS6,2.7.11.1,1
20655,Q6ZMR3,1.1.1.27,1
21073,P14618,2.7.1.40,1
21074,P30613,2.7.1.40,1
21223,Q9NRM7,2.7.11.1,1
21703,Q15418,2.7.11.1,1
21704,O75676,2.7.11.1,1
21705,O75582,2.7.11.1,1
21706,P23443,2.7.11.1,1
21747,P23919,2.7.4.9,1
22356,Q9BYZ2,1.1.1.27,1
22363,P00338,1.1.1.27,1
24125,Q6ZMQ8,2.7.11.1,1
24126,Q8IWU2,2.7.11.1,1
24618,Q2Q1W2,2.3.2.27,1
24813,P16233,3.1.1.3,1
25703,P11150,3.1.1.3,1
25707,P07098,3.1.1.3,1
25730,A6NK58,2.3.1.181,1
26370,O95835,2.7.11.1,1
27175,Q9BUB5,2.7.11.1,1
27176,Q9HBH9,2.7.11.1,1
27177,Q9UHC7,2.3.2.27,1
27201,Q9NYL2,2.7.11.25,1
27717,P45984,2.7.11.24,1
27981,P30307,3.1.3.48,1
28105,Q13434,2.3.2.27,1
28438,Q02750,2.7.12.2,1
28441,P36507,2.7.12.2,1
28444,P52564,2.7.12.2,1
29221,P00540,2.7.11.1,1
29229,P45985,2.7.12.2,1
29598,Q9H3H1,2.5.1.75,1
29624,Q9UQ07,2.7.11.22,1
29783,Q9Y5S2,2.7.11.1,1
30243,Q9HCE1,3.6.4.13,1
30245,P46734,2.7.12.2,1
30366,Q9UJ68,1.8.4.11,1
30566,Q00266,2.5.1.6,1
30774,P08581,2.7.10.1,1
30791,O60291,2.3.2.27,1
30864,Q8N4C8,2.7.11.1,1
30872,Q16659,2.7.11.24,1
30968,O96007,2.8.1.12,1
31189,Q13163,2.7.12.2,1
31200,P30305,3.1.3.48,1
31338,Q13126,2.4.2.28,1
31666,Q8N159,2.3.1.1,1
31676,Q4G0N4,2.7.1.23,1
31746,Q6BCY4,1.6.2.2,1
31751,Q15788,2.3.1.48,1
32211,O95544,2.7.1.23,1
33377,P00387,1.6.2.2,1
34111,O15146,2.7.10.1,1
34361,Q7L1T6,1.6.2.2,1
34362,Q6IPT4,1.6.2.2,1
34410,P15531,2.7.4.6,1
35294,Q96GX9,4.2.1.109,1
35592,Q8WY64,2.3.2.27,1
35597,Q86YV6,2.7.11.1,1
35601,Q8NEV4,2.7.11.1,1
36898,Q9UJ70,2.7.1.59,1
37042,Q9Y6Q9,2.3.1.48,1
37166,Q8NG66,2.7.11.1,1
37228,Q9UHQ9,1.6.2.2,1
37525,Q6P3R8,2.7.11.1,1
37528,Q9HC98,2.7.11.1,1
37529,Q8TDX7,2.7.11.1,1
37536,Q9Y697,2.8.1.7,1
37831,O75414,2.7.4.6,1
37832,O60361,2.7.4.6,1
37837,O00746,2.7.4.6,1
38038,P46934,2.3.2.26,1
38051,Q9Y3R4,3.2.1.18,1
38052,Q8WWR8,3.2.1.18,1
38149,Q9BXD5,4.1.3.3,1
38261,Q96PU5,2.3.2.26,1
38626,P51956,2.7.11.1,1
38631,Q8TD19,2.7.11.1,1
38636,A8MQ27,2.3.2.27,1
38645,Q9UQ49,3.2.1.18,1
38681,Q8NCW5,5.1.99.6,1
39063,P30414,5.2.1.8,1
39141,O76050,2.3.2.27,1
39333,Q6ZWH5,2.7.11.1,1
39335,Q96PY6,2.7.11.1,1
39336,P51955,2.7.11.1,1
39354,Q99519,3.2.1.18,1
39446,Q9UK39,3.1.13.4,1
39552,P39877,3.1.1.4,1
39585,Q13177,2.7.11.1,1
39737,Q9Y6F1,2.4.2.30,1
39738,Q9UKK3,2.4.2.30,1
39740,Q96RG2,2.7.11.1,1
39918,P27815,3.1.4.53,1
39929,O95263,3.1.4.53,1
39957,O15530,2.7.11.1,1
40321,P0DN26,5.2.1.8,1
40369,Q9H300,3.4.21.105,1
40451,Q9NP56,3.1.4.53,1
40452,O60658,3.1.4.53,1
40617,O00764,2.7.1.35,1
40726,Q8TCG2,2.7.1.67,1
40754,Q9UP65,3.1.1.4,1
41159,Q08493,3.1.4.53,1
41178,Q8N165,2.7.11.1,1
41188,Q6A1A2,2.7.11.1,1
41868,Q13153,2.7.11.1,1
41870,O75914,2.7.11.1,1
41873,Q9P286,2.7.11.1,1
41874,Q9NQU5,2.7.11.1,1
41875,F5H284,5.2.1.8,1
42096,Q9NRJ5,2.7.7.19,1
42104,Q9UGN5,2.4.2.30,1
42191,P13667,5.3.4.1,1
42658,Q9HAT8,2.3.2.27,1
42845,P08237,2.7.1.11,1
42899,P00558,2.7.2.3,1
42903,P07205,2.7.2.3,1
43053,Q16822,4.1.1.32,1
43107,Q07343,3.1.4.53,1
43114,Q13946,3.1.4.53,1
43233,Q8N2H9,2.3.2.27,1
43655,A0A075B759,5.2.1.8,1
43659,Q504Q3,3.1.13.4,1
43828,Q9H0J9,2.4.2.30,1
43834,O95453,3.1.13.4,1
43837,P09874,2.4.2.30,1
43872,Q9BTU6,2.7.1.67,1
43877,Q96C36,1.5.1.2,1
44149,Q8NDF8,2.7.7.19,1
44153,P51003,2.7.7.19,1
44154,Q9BWT3,2.7.7.19,1
44161,Q460N3,2.4.2.30,1
44293,P35558,4.1.1.32,1
45326,Q9UPQ7,2.3.2.27,1
45615,P26045,3.1.3.48,1
45617,P35236,3.1.3.48,1
46173,P17812,6.3.4.2,1
46547,P17706,3.1.3.48,1
46575,Q16827,3.1.3.48,1
46576,Q13332,3.1.3.48,1
46579,P23471,3.1.3.48,1
46892,Q92626,1.11.1.7,1
47098,Q02127,1.3.5.2,1
47519,P18031,3.1.3.48,1
47520,Q9H3S7,3.1.3.48,1
47537,P23467,3.1.3.48,1
47541,Q12913,3.1.3.48,1
47542,O14522,3.1.3.48,1
47932,Q9NRF8,6.3.4.2,1
48374,Q92729,3.1.3.48,1
48381,Q6GMV3,3.1.1.29,1
49014,P51817,2.7.11.1,1
49023,P21108,2.7.6.1,1
49044,Q86TP1,3.6.1.1,1
49087,P28065,3.4.25.1,1
49341,P43378,3.1.3.48,1
49732,Q9Y3E5,3.1.1.29,1
49750,Q16825,3.1.3.48,1
49752,P54829,3.1.3.48,1
49753,P29350,3.1.3.48,1
49769,P23469,3.1.3.48,1
49770,P23470,3.1.3.48,1
49771,Q9HD43,3.1.3.48,1
50302,P25786,3.4.25.1,1
50306,P25787,3.4.25.1,1
50417,P20618,3.4.25.1,1
50681,Q06124,3.1.3.48,1
50683,Q99952,3.1.3.48,1
50853,O14818,3.4.25.1,1
51337,Q12923,3.1.3.48,1
51341,P29074,3.1.3.48,1
51356,Q15257,5.2.1.8,1
51365,P08575,3.1.3.48,1
51366,P28827,3.1.3.48,1
51368,Q15256,3.1.3.48,1
52125,O14730,2.7.11.1,1
52468,Q8N142,6.3.4.4,1
52473,P30520,6.3.4.4,1
53158,Q9NS91,2.3.2.27,1
55239,P04049,2.7.11.1,1
55765,Q7Z6E9,2.3.2.27,1
56990,P46063,3.6.4.12,1
57122,Q9HBD1,2.3.2.27,1
57787,Q06587,2.3.2.27,1
57788,Q99496,2.3.2.27,1
57802,P57078,2.7.11.1,1
58011,O94762,3.6.4.12,1
58281,Q8NHY2,2.3.2.27,1
58506,Q8TEB9,3.4.21.105,1
58815,O94761,3.6.4.12,1
58859,P07949,2.7.10.1,1
59071,Q9NX52,3.4.21.105,1
59363,Q8WZ73,2.3.2.27,1
59373,Q6PCD5,2.3.2.27,1
59776,Q9BVS4,2.7.11.1,1
59780,Q13546,2.7.11.1,1
59781,Q9Y572,2.7.11.1,1
59790,P23921,1.17.4.1,1
59808,P31350,1.17.4.1,1
60124,Q7LG56,1.17.4.1,1
60371,Q5XPI4,2.3.2.27,1
60372,Q96EQ8,2.3.2.27,1
60374,Q8TEB7,2.3.2.27,1
60385,Q5TA31,2.3.2.27,1
61137,Q86T96,2.3.2.27,1
62673,Q9BUL9,3.1.26.5,1
62742,O95602,2.7.7.6,1
62745,Q9H9Y6,2.7.7.6,1
63056,O00411,2.7.7.6,1
63219,O60930,3.1.26.4,1
63542,Q13464,2.7.11.1,1
63599,P49247,5.3.1.6,1
63840,O75818,3.1.26.5,1
64034,Q9H4L7,3.6.4.12,1
64059,P00441,1.15.1.1,1
64066,P08294,1.15.1.1,1
64188,P19623,2.5.1.16,1
64233,P49903,2.7.9.3,1
64318,Q9HCE7,2.3.2.26,1
64319,Q8NB12,2.1.1.43,1
64736,Q9BXU1,2.7.11.1,1
64737,Q8TDR2,2.7.11.1,1
64738,Q9NRP7,2.7.11.1,1
64812,Q9BSE5,3.5.3.11,1
64860,Q15772,2.7.11.1,1
64923,Q96Q15,2.7.11.1,1
64977,P04179,1.15.1.1,1
65115,P78362,2.7.11.1,1
65123,Q86YV5,2.7.10.2,1
65152,Q9HAU4,2.3.2.26,1
65155,Q9H7B4,2.1.1.43,1
65351,Q9Y5K1,5.99.1.3,1
65531,Q8TEC5,2.3.2.27,1
65547,Q8IUQ4,2.3.2.27,1
65606,Q9UBP0,3.6.4.3,1
65702,Q8WTS6,2.1.1.43,1
65722,Q9H0K1,2.7.11.1,1
65751,Q9H2G2,2.7.11.1,1
65979,P14868,6.1.1.12,1
66431,Q9NSE4,6.1.1.5,1
67023,O94768,2.7.11.1,1
67067,Q15208,2.7.11.1,1
67068,Q9UEW8,2.7.11.1,1
67083,Q6J9G0,2.7.10.2,1
67587,Q9P2J5,6.1.1.4,1
67769,P47897,6.1.1.18,1
68047,Q9P2R7,6.2.1.5,1
69088,P12081,6.1.1.21,1
69455,Q7L3T8,6.1.1.15,1
70850,Q15031,6.1.1.4,1
72011,Q5T160,6.1.1.19,1
72061,A2RTX5,6.1.1.3,1
72063,Q9BW92,6.1.1.3,1
72365,P49590,6.1.1.21,1
72889,P49591,6.1.1.11,1
72891,Q9NP81,6.1.1.11,1
73297,Q8IYB8,3.6.4.13,1
73298,O43463,2.1.1.43,1
73770,Q9NSD9,6.1.1.20,1
73992,P41252,6.1.1.5,1
74088,Q15046,6.1.1.6,1
74244,P56192,6.1.1.10,1
74249,Q96GW9,6.1.1.10,1
74344,O43776,6.1.1.22,1
74347,Q96I59,6.1.1.22,1
74547,Q9UGM6,6.1.1.2,1
74835,P54136,6.1.1.19,1
75369,Q587J7,3.6.4.13,1
75370,Q8NDG6,3.6.4.13,1
75783,P42680,2.7.10.2,1
75812,P37173,2.7.11.30,1
76084,P24752,2.3.1.9,1
76298,P09110,2.3.1.16,1
76337,P37837,2.2.1.2,1
76420,Q9H2K8,2.7.11.1,1
77219,Q7L7X3,2.7.11.1,1
77371,P26640,6.1.1.9,1
77447,P54577,6.1.1.1,1
77450,Q9Y2Z4,6.1.1.1,1
77594,Q9UL54,2.7.11.1,1
77631,Q9UHD2,2.7.11.1,1
78017,P26639,6.1.1.3,1
78093,Q5ST30,6.1.1.9,1
78331,Q96BW9,2.7.7.41,1
78465,Q9UKN8,2.3.1.48,1
78843,Q16762,2.8.1.1,1
78862,P51854,2.2.1.1,1
79373,Q86UE8,2.7.11.1,1
79913,Q9H0I9,2.2.1.1,1
79919,P29401,2.2.1.1,1
80272,Q96JJ7,5.3.4.1,1
80649,P11388,5.99.1.3,1
80670,Q9NS56,2.3.2.27,1
80689,P51580,2.1.1.67,1
80800,P23381,6.1.1.2,1
80837,P48775,1.13.11.11,1
80893,Q15569,2.7.12.1,1
80988,P42765,2.3.1.16,1
81158,Q96S53,2.7.12.1,1
81216,Q9BWD1,2.3.1.9,1
81408,Q13263,2.3.2.27,1
81576,Q9UKI8,2.7.11.1,1
81805,Q9UKE5,2.7.11.1,1
81807,Q9H2K2,2.4.2.30,1
81816,Q969P6,5.99.1.2,1
81873,A0AVI4,2.3.2.27,1
81937,P60174,5.3.1.1,1
82018,Q9UPN9,2.3.2.27,1
82026,Q969Q1,2.3.2.27,1
82226,Q13470,2.7.10.2,1
82271,Q96KB5,2.7.12.2,1
82291,Q9Y4K3,2.3.2.27,1
82929,Q6IQ55,2.7.11.1,1
82934,P33981,2.7.12.1,1
82953,P42681,2.7.10.2,1
82997,Q06418,2.7.10.1,1
83983,P36406,2.3.2.27,1
83987,Q9HCM9,2.3.2.27,1
83989,Q86XT4,2.3.2.27,1
83991,Q8NG06,2.3.2.27,1
83993,Q6AZZ1,2.3.2.27,1
83996,Q9UJV3,2.3.2.27,1
84004,Q9C026,2.3.2.27,1
84008,Q14669,2.3.2.26,1
84069,Q9UBP6,2.1.1.33,1
84706,Q96PN8,2.7.11.1,1
84737,O15164,2.3.2.27,1
85261,Q9BX84,2.7.11.1,1
85403,P07478,3.4.21.4,1
85406,P35030,3.4.21.4,1
85408,Q8NHM4,3.4.21.4,1
85684,O00635,2.3.2.27,1
85691,Q9BVG3,2.3.2.27,1
85695,Q9C040,2.3.2.27,1
85702,Q8N9V2,2.3.2.27,1
85975,Q96Q11,2.7.7.72,1
86239,Q16881,1.8.1.9,1
86249,P35590,2.7.10.1,1
86305,Q59H18,2.7.11.1,1
86334,Q13472,5.99.1.2,1
86363,O75365,3.1.3.48,1
86692,Q96QT4,2.7.11.1,1
86725,Q02880,5.99.1.3,1
86738,Q93096,3.1.3.48,1
86739,Q12974,3.1.3.48,1
86862,Q8IYM9,2.3.2.27,1
