Protein1,Protein2
Q9BPZ3,P08574
O75116,Q8TD31
P40937,Q5W5X9
P25788,Q9BYN8
P54257,Q13596
Q6PKG0,Q9UJX3
Q14258,O43255
Q9NX47,Q96G01
Q6P2E9,P43405
P49915,Q6IQ23
P50995,Q5T8P6
Q14847,Q9NSV4
Q8N3L3,Q9NRG9
Q92625,P02647
O14965,Q9BYV6
Q9BZB8,Q9ULD2
Q9H792,P55884
Q9Y3D9,Q13480
Q69YQ0,P61964
Q6P2I7,Q15147
Q92911,Q5TCZ1
Q96G01,P06753
Q99623,P22061
O95639,Q15363
O75901,Q9ULL1
Q15058,Q9P2B4
P30260,P02649
Q93034,Q13286
Q13627,Q68CZ2
P14373,Q9UBS8
P14373,Q13137
Q02224,Q12873
P36543,Q38SD2
Q13084,Q7L311
Q96EV8,Q13618
Q96RF0,Q9H0A0
Q13057,Q9NQW6
Q8TF72,Q7Z2W9
Q8NB66,Q9UBW8
Q8IZ73,Q4ADV7
Q9BRZ2,Q9UJV3
O14641,Q96N67
Q7Z419,P41212
Q9P2L0,Q96L21
Q5T4F4,Q8WXD2
O15169,P50748
Q86UP2,Q504Q3
Q96RY7,O43353
Q96H55,Q14966
Q9H4M7,P40926
Q9UPT8,Q92973
O15155,P57078
Q9BXF6,O60716
Q9UBU8,Q8TAF3
Q8N3X1,Q9P2K8
Q8N4C6,Q99816
P13569,Q9NRD5
Q92597,Q9UK45
Q6ZNE5,Q6P1N0
Q86V86,Q9BXW9
Q5S007,Q8TB45
Q5VT06,O14974
Q8WWI1,P55196
P52594,Q86V81
P35568,Q86VQ0
P13196,P98170
P53350,Q6P2Q9
O43752,P78317
Q9UQC2,Q15025
Q9Y4C8,Q7Z7C8
Q99959,Q9BXY8
Q6AI12,P06576
Q92887,O76081
P14373,Q9UPT5
P14866,Q8IUD2
Q9UBF6,P04792
Q69YN4,P49914
Q15645,Q9NRD5
P57078,Q00610
O94992,Q6IQ26
Q9Y4K3,P42694
Q15058,Q8TDY2
Q9Y4J8,Q66LE6
O15226,O43175
Q99816,Q2NKX8
