Protein UniProt Acc.,EC Number,isEnzyme
Q8NE63,2.7.11.1,1
Q5T447,2.3.2.26,1
Q9Y4D8,2.3.2.26,1
P08397,2.5.1.61,1
A2PYH4,3.6.4.12,1
Q86Z02,2.7.11.1,1
Q9H2X6,2.7.11.1,1
Q96DB2,3.5.1.98,1
Q93099,1.13.11.5,1
P22830,4.99.1.1,1
P09601,1.14.14.18,1
P30519,1.14.14.18,1
Q8TF76,2.7.11.1,1
Q9ULT8,2.3.2.26,1
Q15034,2.3.2.26,1
Q9H422,2.7.11.1,1
P04035,1.1.1.34,1
P57058,2.7.11.1,1
Q96N76,4.2.1.49,1
Q5U5R9,2.3.2.26,1
Q76N89,2.3.2.26,1
P35557,2.7.1.2,1
O75874,1.1.1.42,1
Q9BYM8,2.3.2.27,1
P52790,2.7.1.1,1
P48735,1.1.1.42,1
P00492,2.4.2.8,1
Q2TB90,2.7.1.1,1
P42357,4.3.1.3,1
P52789,2.7.1.1,1
Q8IU81,2.3.2.27,1
Q96NU7,3.5.2.7,1
P20839,1.1.1.205,1
Q9UPZ9,2.7.11.1,1
Q13907,5.3.3.2,1
P08069,2.7.10.1,1
Q9H0C8,3.1.3.16,1
P12268,1.1.1.205,1
Q9NWZ3,2.7.11.1,1
Q96AZ6,3.1.13.1,1
P14616,2.7.10.1,1
P06213,2.7.10.1,1
Q9Y616,2.7.11.1,1
Q08881,2.7.10.2,1
P52333,2.7.10.2,1
Q14197,3.1.1.29,1
P19367,2.7.1.1,1
Q9BXS1,5.3.3.2,1
Q15181,3.6.1.1,1
Q9ULG1,3.6.4.12,1
Q9BY32,3.6.1.9,1
Q8TAC2,3.4.19.12,1
P04183,2.7.1.21,1
Q8N5S9,2.7.11.17,1
O60229,2.7.11.1,1
Q9BW62,3.6.4.3,1
P48729,2.7.11.1,1
Q9HCP0,2.7.11.1,1
Q14012,2.7.11.17,1
Q9UQM7,2.7.11.17,1
Q13557,2.7.11.17,1
Q13555,2.7.11.17,1
Q16566,2.7.11.17,1
Q9P0J7,2.3.2.27,1
Q16774,2.7.4.8,1
Q13554,2.7.11.17,1
Q9H2U2,3.6.1.1,1
P54819,2.7.4.3,1
Q9Y6M4,2.7.11.1,1
Q96NX5,2.7.11.17,1
P23458,2.7.10.2,1
O60674,2.7.10.2,1
Q693B1,2.3.2.27,1
Q9Y3D8,2.7.4.3,1
Q92993,2.3.1.48,1
Q8N752,2.7.11.1,1
Q6P2M8,2.7.11.17,1
Q8IU85,2.7.11.17,1
P17252,2.7.11.13,1
P05771,2.7.11.13,1
P24723,2.7.11.13,1
Q05513,2.7.11.13,1
Q15349,2.7.11.1,1
Q15040,3.4.19.12,1
Q92830,2.3.1.48,1
Q92794,2.3.1.48,1
Q8WYB5,2.3.1.48,1
O95251,2.3.1.48,1
Q9H7Z6,2.3.1.48,1
P78368,2.7.11.1,1
Q4FZB7,2.1.1.43,1
Q86Y97,2.1.1.43,1
Q9UK32,2.7.11.1,1
O75449,3.6.4.3,1
Q92831,2.3.1.48,1
Q8IYT4,3.6.4.3,1
Q02156,2.7.11.13,1
P41743,2.7.11.13,1
P11801,2.7.11.1,1
Q96S38,2.7.11.1,1
Q16719,3.7.1.3,1
P10721,2.7.10.1,1
Q96RR4,2.7.11.17,1
Q9UMN6,2.1.1.43,1
Q6VAB6,2.7.11.1,1
P06239,2.7.10.2,1
P07864,1.1.1.27,1
Q9UBS0,2.7.11.1,1
Q8IZD2,2.1.1.43,1
P05129,2.7.11.13,1
O00142,2.7.1.21,1
Q9BZL6,2.7.11.13,1
Q04759,2.7.11.13,1
Q96QS6,2.7.11.1,1
Q6ZMR3,1.1.1.27,1
P14618,2.7.1.40,1
P30613,2.7.1.40,1
Q9NRM7,2.7.11.1,1
Q15418,2.7.11.1,1
O75676,2.7.11.1,1
O75582,2.7.11.1,1
P23443,2.7.11.1,1
P23919,2.7.4.9,1
Q9BYZ2,1.1.1.27,1
P00338,1.1.1.27,1
Q6ZMQ8,2.7.11.1,1
Q8IWU2,2.7.11.1,1
Q2Q1W2,2.3.2.27,1
P16233,3.1.1.3,1
P11150,3.1.1.3,1
P07098,3.1.1.3,1
A6NK58,2.3.1.181,1
O95835,2.7.11.1,1
Q9BUB5,2.7.11.1,1
Q9HBH9,2.7.11.1,1
Q9UHC7,2.3.2.27,1
Q9NYL2,2.7.11.25,1
P45984,2.7.11.24,1
P30307,3.1.3.48,1
Q13434,2.3.2.27,1
Q02750,2.7.12.2,1
P36507,2.7.12.2,1
P52564,2.7.12.2,1
P00540,2.7.11.1,1
P45985,2.7.12.2,1
Q9H3H1,2.5.1.75,1
Q9UQ07,2.7.11.22,1
Q9Y5S2,2.7.11.1,1
Q9HCE1,3.6.4.13,1
P46734,2.7.12.2,1
Q9UJ68,1.8.4.11,1
Q00266,2.5.1.6,1
P08581,2.7.10.1,1
O60291,2.3.2.27,1
Q8N4C8,2.7.11.1,1
Q16659,2.7.11.24,1
O96007,2.8.1.12,1
Q13163,2.7.12.2,1
P30305,3.1.3.48,1
Q13126,2.4.2.28,1
Q8N159,2.3.1.1,1
Q4G0N4,2.7.1.23,1
Q6BCY4,1.6.2.2,1
Q15788,2.3.1.48,1
O95544,2.7.1.23,1
P00387,1.6.2.2,1
O15146,2.7.10.1,1
Q7L1T6,1.6.2.2,1
Q6IPT4,1.6.2.2,1
P15531,2.7.4.6,1
Q96GX9,4.2.1.109,1
Q8WY64,2.3.2.27,1
Q86YV6,2.7.11.1,1
Q8NEV4,2.7.11.1,1
Q9UJ70,2.7.1.59,1
Q9Y6Q9,2.3.1.48,1
Q8NG66,2.7.11.1,1
Q9UHQ9,1.6.2.2,1
Q6P3R8,2.7.11.1,1
Q9HC98,2.7.11.1,1
Q8TDX7,2.7.11.1,1
Q9Y697,2.8.1.7,1
O75414,2.7.4.6,1
O60361,2.7.4.6,1
O00746,2.7.4.6,1
P46934,2.3.2.26,1
Q9Y3R4,3.2.1.18,1
Q8WWR8,3.2.1.18,1
Q9BXD5,4.1.3.3,1
Q96PU5,2.3.2.26,1
P51956,2.7.11.1,1
Q8TD19,2.7.11.1,1
A8MQ27,2.3.2.27,1
Q9UQ49,3.2.1.18,1
Q8NCW5,5.1.99.6,1
P30414,5.2.1.8,1
O76050,2.3.2.27,1
Q6ZWH5,2.7.11.1,1
Q96PY6,2.7.11.1,1
P51955,2.7.11.1,1
Q99519,3.2.1.18,1
Q9UK39,3.1.13.4,1
P39877,3.1.1.4,1
Q13177,2.7.11.1,1
Q9Y6F1,2.4.2.30,1
Q9UKK3,2.4.2.30,1
Q96RG2,2.7.11.1,1
P27815,3.1.4.53,1
O95263,3.1.4.53,1
O15530,2.7.11.1,1
P0DN26,5.2.1.8,1
Q9H300,3.4.21.105,1
Q9NP56,3.1.4.53,1
O60658,3.1.4.53,1
O00764,2.7.1.35,1
Q8TCG2,2.7.1.67,1
Q9UP65,3.1.1.4,1
Q08493,3.1.4.53,1
Q8N165,2.7.11.1,1
Q6A1A2,2.7.11.1,1
Q13153,2.7.11.1,1
O75914,2.7.11.1,1
Q9P286,2.7.11.1,1
Q9NQU5,2.7.11.1,1
F5H284,5.2.1.8,1
Q9NRJ5,2.7.7.19,1
Q9UGN5,2.4.2.30,1
P13667,5.3.4.1,1
Q9HAT8,2.3.2.27,1
P08237,2.7.1.11,1
P00558,2.7.2.3,1
P07205,2.7.2.3,1
Q16822,4.1.1.32,1
Q07343,3.1.4.53,1
Q13946,3.1.4.53,1
Q8N2H9,2.3.2.27,1
A0A075B759,5.2.1.8,1
Q504Q3,3.1.13.4,1
Q9H0J9,2.4.2.30,1
O95453,3.1.13.4,1
P09874,2.4.2.30,1
Q9BTU6,2.7.1.67,1
